instance,parameter,cut_count,known_puzzle,best_solution,lower bound,gap,runtime,node_count,remaining_nodes,status,cpu_type,time_limit,ram
0,2,500,0,86.0,37.28515,56.645175,720000.173276,581138,478857,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
0,2,1000,0,86.0,37.717494,56.142448,720000.24919,690985,594162,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
0,2,3000,0,84.0,38.167921,54.561999,720000.927234,856919,794183,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
1,2,500,0,85.0,37.747463,55.591219,720000.194078,700862,629661,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
1,2,1000,0,86.0,38.382391,55.369313,720000.614139,741025,617855,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
1,2,3000,0,85.0,38.513802,54.689645,720000.400468,709951,651211,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
2,2,500,0,84.0,36.647352,56.3722,720000.137296,650617,572430,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
2,2,1000,0,85.0,37.206281,56.227905,720000.167726,708018,628743,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
2,2,3000,0,86.0,37.562918,56.322188,720000.271683,767241,664225,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
3,2,500,0,84.0,35.784914,57.398911,720000.175009,589270,543031,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
3,2,1000,0,86.0,36.706652,57.317847,720000.217774,603014,563536,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
3,2,3000,0,83.0,36.965885,55.462789,720001.22209,667433,612242,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
4,2,500,0,84.0,37.547271,55.300868,720000.616333,623296,536835,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
4,2,1000,0,86.0,38.204005,55.576739,720001.031596,690419,626507,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
4,2,3000,0,84.0,38.261547,54.45054,720000.222948,732383,672378,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
5,2,500,0,86.0,37.234897,56.703608,720000.629631,568918,517611,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
5,2,1000,0,84.0,36.971203,55.986663,720000.1795,645952,584104,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
5,2,3000,0,85.0,38.040317,55.246686,720000.289107,849466,783781,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
6,2,500,0,86.0,38.517119,55.212653,720000.279536,584051,538216,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
6,2,1000,0,86.0,39.306551,54.294708,720000.34644,716699,649199,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
7,2,500,0,86.0,37.524528,56.366828,720000.285609,610609,552835,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
7,2,1000,0,86.0,38.158099,55.630117,720000.370311,720680,669708,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
7,2,3000,0,83.0,38.48383,53.63394,720000.191976,823181,751409,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
8,2,500,0,85.0,38.467566,54.74404,720000.203295,549060,481896,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
8,2,1000,0,85.0,38.346224,54.886795,720000.613381,645218,596238,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
9,2,500,0,85.0,38.585131,54.605728,720000.73148,643684,573733,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
9,2,1000,0,85.0,38.963397,54.160709,720000.515589,683179,612730,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
9,2,3000,0,84.0,38.676323,53.956759,720001.044819,676679,619438,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,720000,32000
